Product Name/Title,Product Description Test,Product Description Summary,Product Size,Product Price (USD),UOM (Unit of Measure),Availability Status,SKU Number,Manufacturer #/ Category #,Vendor Name,Vendor Fulfillment Center,Vendor Email,Vendor Phone Number,Vendor Website URI,Vendor Website Link text,Manufacturer Name,Manufacturer Phone Number,Product Category,Product Type,"Vendor Address (Region, Country)",Comments,Supplier Reviewed,Revision log message
8000 Series Multi-Gas/Vapor Assembled Reusable Half Mask Respirator - Large (Respiratory Mask) 234532,8000 Series Multi-Gas/Vapor Assembled Reusable Half Mask Respirator - Large (Respiratory Mask),8000 Series Multi-Gas/Vapor Assembled Reusable Half Mask Respirator - Large (Respiratory Mask),N/A, $31.22 , EA ,Available - In Stock,234532,we234w5,AG Safety,"New York, United States",example1@example2.com,,https://www.agssafety.com/default.aspx?page=item%20detail&itemcode=8602,https://www.agssafety.com/default.aspx?page=item%20detail&itemcode=8603,Moldex,12125842158,Mask,Mask,"New York, United States",,,
Safety Goggles 234533,Safety Goggles,Safety Goggles,N/A, $4.15 , EA ,Available - In Stock,234533,we234w6,Geotech Supply,"New York, United States",example1@example2.com,,https://www.geotechsupply.com/safetygoggles.aspx,https://www.geotechsupply.com/safetygoggles.aspx,,12125842158,Mask,Mask,"New York, United States",,,
8000 Series Multi-Gas/Vapor Assembled Reusable Half Mask Respirator - Large (Respiratory Mask) 234534,8000 Series Multi-Gas/Vapor Assembled Reusable Half Mask Respirator - Large (Respiratory Mask),8000 Series Multi-Gas/Vapor Assembled Reusable Half Mask Respirator - Large (Respiratory Mask),N/A, $31.22 , EA ,Available - In Stock,234534,we234w7,AG Safety,"New York, United States",example1@example2.com,602-535-2000,https://www.agssafety.com/default.aspx?page=item%20detail&itemcode=8602,https://www.agssafety.com/default.aspx?page=item%20detail&itemcode=8603,Moldex,12125842158,Mask,Mask,"New York, United States","Duplicate row, see row #3",,"Duplicate row, see row #3"
8000 Series P100 Assembled Reusable Half Mask Respirator & Particulate Filter Disks (Respiratory Mask) 234535,8000 Series P100 Assembled Reusable Half Mask Respirator & Particulate Filter Disks (Respiratory Mask),8000 Series P100 Assembled Reusable Half Mask Respirator & Particulate Filter Disks (Respiratory Mask),N/A, $26.14 , EA ,Available - In Stock,234535,we234w8,AG Safety,"New York, United States",example1@example2.com,602-535-2000,https://www.agssafety.com/default.aspx?page=item%20detail&itemcode=8942-M,https://www.agssafety.com/default.aspx?page=item%20detail&itemcode=8942-M,Moldex,12125842158,Mask,Mask,"New York, United States",,,
Respirator half mask Lg Moldex (Respiratory Mask) 234536,Respirator half mask Lg Moldex (Respiratory Mask),Respirator half mask Lg Moldex (Respiratory Mask),N/A, $15.56 , EA ,Available - In Stock,234536,we234w9,AG Safety,"New York, United States",example1@example2.com,602-535-2000,https://www.agssafety.com/default.aspx?page=item%20detail&itemcode=7003-L,https://www.agssafety.com/default.aspx?page=item%20detail&itemcode=7003-L,Moldex,12125842158,Mask,Mask,"New York, United States",,,
8000 Series Paint Spray/Pesticide Assembled Reusable Half Mask Respirator Size-Medium (Respiratory Mask) 234537,8000 Series Paint Spray/Pesticide Assembled Reusable Half Mask Respirator Size-Medium (Respiratory Mask),8000 Series Paint Spray/Pesticide Assembled Reusable Half Mask Respirator Size-Medium (Respiratory Mask),N/A, $35.79 , EA ,Available - In Stock,234537,we234w10,AG Safety,"New York, United States",example1@example2.com,602-535-2000,https://www.agssafety.com/default.aspx?page=item%20detail&itemcode=8112N,https://www.agssafety.com/default.aspx?page=item%20detail&itemcode=8112N,Moldex,12125842158,Mask,Mask,"New York, United States",,,
Disposable Particulate Respirators N95 234538,Disposable Particulate Respirators N95,Disposable Particulate Respirators N95,N/A, $15.61 , EA ,Available - In Stock,234538,we234w11,Equipment Direct,"New York, United States",example1@example2.com,800-424-4410,https://www.equipdirect.com/disposableparticulaterespirators-priceperbox2.aspx,https://www.equipdirect.com/disposableparticulaterespirators-priceperbox2.aspx,,12125842158,Mask,Mask,"New York, United States",,,
"PIP¨ 270-4000 Disposable Face Mask, Universal, 0.99, Latex-Free Headstrap, Blue Outside/White Inside 234539","PIP¨ 270-4000 Disposable Face Mask, Universal, 0.99, Latex-Free Headstrap, Blue Outside/White Inside","PIP¨ 270-4000 Disposable Face Mask, Universal, 0.99, Latex-Free Headstrap, Blue Outside/White Inside",N/A, $4.30 , EA ,Available - In Stock,234539,we234w12,Fairmont Supply,"New York, United States",example1@example2.com,724-223-2200,https://www.fairmontsupply.com/1198411/Product/PIP%C2%AE-270-3999,https://www.fairmontsupply.com/1198411/Product/PIP%C2%AE-270-4000,PIP,12125842158,Mask,Mask,"New York, United States",,,
Certified Safety 216-040 Face Mask With Eye Shield 234540,Certified Safety 216-040 Face Mask With Eye Shield,Certified Safety 216-040 Face Mask With Eye Shield,N/A, $2.85 , EA ,Available - In Stock,234540,we234w13,Fairmont Supply,"New York, United States",example1@example2.com,724-223-2200,https://www.fairmontsupply.com/1161842/Product/Certified-Safety-216-039,https://www.fairmontsupply.com/1161842/Product/Certified-Safety-216-040,Certified Safety,12125842158,Mask,Mask,"New York, United States",special order,,special order
"Gerson¨ 1501 Nuisance Dust Mask, 50/Box 234541","Gerson¨ 1501 Nuisance Dust Mask, 50/Box","Gerson¨ 1501 Nuisance Dust Mask, 50/Box",N/A, $7.71 , 50/box ,Available - In Stock,234541,we234w14,Fairmont Supply,"New York, United States",example1@example2.com,724-223-2200,https://www.fairmontsupply.com/1234845/Product/Gerson%C2%AE-1500,https://www.fairmontsupply.com/1234845/Product/Gerson%C2%AE-1501,Gerson,12125842158,Mask,Mask,"New York, United States",special order,,special order
"Curad¨ CUR384S Antiviral Medical Face Mask, Pleated, 10/Box 234542","Curad¨ CUR384S Antiviral Medical Face Mask, Pleated, 10/Box","Curad¨ CUR384S Antiviral Medical Face Mask, Pleated, 10/Box",N/A, $12.43 , 10/box ,Available - In Stock,234542,we234w15,Fairmont Supply,"New York, United States",example1@example2.com,724-223-2200,https://www.fairmontsupply.com/1238893/Product/Curad%C2%AE-CUR384S,https://www.fairmontsupply.com/1238893/Product/Curad%C2%AE-CUR384S,Curad,12125842158,Mask,Mask,"New York, United States",special order,,special order
"
Medline NON27375Z Standard Procedure Face Mask, Cellulose, Blue, 50/Box 234543","
Medline NON27375Z Standard Procedure Face Mask, Cellulose, Blue, 50/Box","
Medline NON27375Z Standard Procedure Face Mask, Cellulose, Blue, 50/Box",N/A, $14.40 , 50/box ,Available - In Stock,234543,we234w16,Fairmont Supply,"New York, United States",example1@example2.com,724-223-2200,https://www.fairmontsupply.com/1237245/Product/Medline-NON27375Z,https://www.fairmontsupply.com/1237245/Product/Medline-NON27375Z,Medline,12125842158,Mask,Mask,"New York, United States",special order,,special order
Moldex 2700N95 Series Particulate Respirators 234544,Moldex 2700N95 Series Particulate Respirators,Moldex 2700N95 Series Particulate Respirators,N/A, $33.12 , N/A ,Available - In Stock,234544,we234w17,Geotech Supply,"New York, United States",example1@example2.com,800-589-0541,https://www.geotechsupply.com/moldex2700n95seriesparticulaterespirators.aspx,https://www.geotechsupply.com/moldex2700n95seriesparticulaterespirators.aspx,Moldex,12125842158,Mask,Mask,"New York, United States",,,
Moldex N-100 Respirator 234545,Moldex N-100 Respirator,Moldex N-100 Respirator,N/A, $36.90 , N/A ,Available - In Stock,234545,we234w18,Geotech Supply,"New York, United States",example1@example2.com,800-589-0541,https://www.geotechsupply.com/moldexn-100respirator.aspx,https://www.geotechsupply.com/moldexn-100respirator.aspx,Moldex,12125842158,Mask,Mask,"New York, United States",,,
Moldex R-95 Respirator 234546,Moldex R-95 Respirator,Moldex R-95 Respirator,N/A, $51.79 , N/A ,Available - In Stock,234546,we234w19,Geotech Supply,"New York, United States",example1@example2.com,800-589-0541,https://www.geotechsupply.com/moldexr-95respirator.aspx,https://www.geotechsupply.com/moldexr-95respirator.aspx,Moldex,12125842158,Mask,Mask,"New York, United States",,,
"19845
REGAL TOOL PRODUCTS 234547","19845
REGAL TOOL PRODUCTS","19845
REGAL TOOL PRODUCTS",N/A, $3.11 , 10/box ,Available - In Stock,234547,we234w20,HCI Supply Store,"New York, United States",example1@example2.com,,http://hcisupplystore.com/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=20431&virtuemart_category_id=8560&Itemid=104,http://hcisupplystore.com/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=20431&virtuemart_category_id=8560&Itemid=105,RGL,12125842158,Mask,Mask,"New York, United States",,,
"DM-3
PYRAMEX SAFETY PRODUCTS 234548","DM-3
PYRAMEX SAFETY PRODUCTS","DM-3
PYRAMEX SAFETY PRODUCTS",N/A, $1.42 , EA ,Available - In Stock,234548,we234w21,HCI Supply Store,"New York, United States",example1@example2.com,,http://hcisupplystore.com/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=20559&virtuemart_category_id=8560&Itemid=104,http://hcisupplystore.com/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=20559&virtuemart_category_id=8560&Itemid=105,PSP,12125842158,Mask,Mask,"New York, United States",,,
"2200
MOLDEX SAFETY PRODUCTS 234549","2200
MOLDEX SAFETY PRODUCTS","2200
MOLDEX SAFETY PRODUCTS",N/A, $1.55 , EA ,Available - In Stock,234549,we234w22,HCI Supply Store,"New York, United States",example1@example2.com,,http://hcisupplystore.com/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=26651&virtuemart_category_id=8560&Itemid=104,http://hcisupplystore.com/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=26651&virtuemart_category_id=8560&Itemid=105,Moldex,12125842158,Mask,Mask,"New York, United States",,,
P95 DUST MASK-MMM8577 234550,P95 DUST MASK-MMM8577,P95 DUST MASK-MMM8577,N/A, $7.20 , EA ,Available - In Stock,234550,we234w23,HCI Supply Store,"New York, United States",example1@example2.com,,http://hcisupplystore.com/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=115652&virtuemart_category_id=8560&Itemid=104,http://hcisupplystore.com/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=115652&virtuemart_category_id=8560&Itemid=105,3M,12125842158,Mask,Mask,"New York, United States",,,
